No.,Author,Comment
0,ttblqtvbt,"úa may trong phòng tập thì chứng thực được gì.ra thực chiến MMA.kick boxing,muay Thái đi.thách đấu với Cung lê,Thanh lê,với các đấu sĩ quốc tế đi sẽ chứng thực thứ hạng,đẳng cấp.võ miệng cũng chỉ là sơn đông mãi võ thôi."
1,Anh Tuyên,"uyệt, chúc anh không gặp Từ Hiểu Đông"
2,Người Bình Minh,uyệt vời Idol ...!! Chúc anh thật nhiều sức khỏe .....!!!!
3,suanghegold,ông nhận võ China đánh đẹp thật! Đặc biệt ở thi biểu diễn và trên phim trường.
4,Ren,"ánh đấm thì OK đó nhưng diễn xuất quá nhạt, nếu ko đóng phim võ thuật cũng ko vào vai nào khác được"
5,Thanh Tam Luu,"ưa vẫn mê bộ tinh võ môn của Chân Tử Đan đóng, dù mình rất ghét các bộ phim mà kết thúc nhân vật chính chết."
6,Chat Master,úa may cho vui thôi chứ đường đất thì thua!
7,Nam Nguyen,"ao ko lên võ Đài Thủ một lần, Phim thì toàn ảo, ko có thật, giả tạo."
8,tksforcoming,ừ Hiểu Đông thách đấu thì trốn 
9,hamanhnguyen.1811,"ùng võ với nhau nhưng sức khỏe, sự nghiệp, gia đình ... a Đan khéo là viên mãn nhất."
10,VuTuanHiep,"úa hay đi quyền thì quả thật nhìn sướng mắt người xem
Nhưng nhớ đừng nhận lời thách đấu nếu Từ Hiểu Đông nhé"
11,anhduchcm83,"õ của trần chân không đơn thuần để đóng phim như thành long hay Tinh Gia thôi đâu, anh ta cũng trải qua cả cổ truyền và judo, mma đó. Nên khi đóng phim đòn của ta ta uy lực thật sự. Sẽ lại có nhiều thành phần nói võ của anh ta chỉ đóng phim chứ thực chiến là tiêu. Thử biết liền."
12,quanghuy0688,ừ Hiểu Đông đã xem.
13,Nguyen Dang,"iễn viên võ thuật mà nhiều bạn kêu lên đài, buồn cười thật."
14,luongkhoan1979,ọc võ mà dùng để đánh nhau thì chỉ là võ sĩ thôi. Học võ mà có thể dạy lại cho người khác thì mới là võ sư. Học võ để thấy được sự bất lực của nắm đấm thì mới khó.
15,Duc Lap Nguyen,hê
16,kevinhienle1969,"hưa biết Chân Tử Đan có thắng hay thua cho mấy võ sĩ kia hay không, nhưng chắc là 100% là thắng mấy chú không có võ, và nói lung tung"
17,Phan Thank Khoa,"uồn cười thật, có 1 số người, 1 chiêu võ cũng ko biết, nhưng hễ cứ thấy bài viết, clip nào về võ thuật thì một là đem MMA vào so sánh, 2 là đem súng vào nói. Chả biết thể hiện vậy để làm gì? Câu đầu tiên khi học võ mà võ sư sẽ nói với bạn chính là ""học võ là để rèn luyện thân thể chứ ko phải để đánh nhau""."
18,Vu Nguyen Giang Truong,õ đóng phim.
19,trannhatky1980,ặp A Từ hiểu Đông tắt điện bụp xong
