No.,Author,Comment
0,Vương Diệp,lowers hay tuyệt. Đấy là tui nói bài của Miley Cyrus.
1,hihihaha,"ây giờ cứ có 1 điệu nhảy hay một giai điệu vui tai là sẽ được đẩy lên thành ""hot trend"" để đánh vào tâm lý thiếu, khát ""trend"" từ giới trẻ. Các ca sĩ, diễn viên, người mẫu cũng chỉ chờ các ""hot trend"" này để cover nhằm giữ chân người hâm mộ.
Mà những điệu nhảy, giai điệu này không có gì quá đặc biệt, xuất sắc."
2,higokei1803,"ổm coi MV thử thôi nhưng phải công nhận đoạn đấy đắt giá, xứng đáng thành trend từ điệu nhạc tới vũ đạo vì bắt đúng xu hướng của short video. Đó giờ nghe không hợp nhạc BP lắm, nhưng bài này ngoại lệ."
3,Vũ Huy,"ẹp thì có nhưng chẳng thấy hay gì . Giọng hát không hay bài hát cũng không hay , nhưng Jisoo thì xinh ."
4,Fan Chelsea,"ạn Jisso này nhảy trật nhịp, hát như không hát, mặt diễn đơ. Nhờ mv solo mới lộ ngay trình độ chưa bằng ca sĩ bình thường nữa, may còn 3 thành viên còn lại gánh đấy chứ."
5,Phuong banking university,ao mà hao hao giống ST. 
