No.,Author,Comment
0,Nguyễn Đỗ Thiện,-1 nghiêng về Bayern Munich
1,AKa 100/7,ong sao MC mùa này có cúp! Dù rằng khó lắm!
2,Nguyễn Viết Trung,"uchel về Bayern hơi muộn nên có khi chưa nắm rõ cầu thủ dưới quyền lắm, có khi hôm nay Bayern sẽ phơi áo ở Manchester thôi. Mong là ko thua nặng lắm"
3,ductrung081105,"ù Tuchel mới về Bayern nhưng mình nghĩ rằng Man City vẫn rất khó thắng , Bayern luôn ổn định và đẳng cấp dù HLV có là ai chăng nữa"
4,MK Se7en,ep theo chân Si là đẹp.
