No.,Author,Comment
0,chính hoàng minh,"hào mừng ngài Bộ trưởng đến thăm Việt Nam, mong quan hệ Việt-Mỹ sẽ có những bước phát triển hơn nữa vì lợi ích của cả 2 đất nước"
1,Bac Son,elcome!
2,Chien Tran,elcome to VIETNAM.
