No.,Author,Comment
0,Kính Lúp,ị khóa 1 chiều mà còn không đi đăng ký thông tin thì là sim rác rồi. Không có gì phải tiếc lượng thuê bao này
1,trandonga21,"uan trọng nhất là khóa tất cả sim không chính chủ. Đây là nguyên nhân chính của các cuộc gọi của bọn lừa đảo chuyển tiền làm thiệt hại kinh tế, bất ổn xã hội thời gian qua."
2,vanthoandoan185,"Xong các bước này, hành vi dùng sim rác lừa đảo sẽ được giải quyết cơ bản"". Hoan hô ngành viễn thông"
3,Lê Ngọc Cường,im khuyến mãi có bị khoá ko vậy mn? Nếu khoá thì có xài đc 4G ko vậy?
4,kretasyakan,"ố điện thoại được bán tràn lan ngày xưa vẫn còn trôi nổi ngoài thị trường. Nhưng sau nhiều đợt xác minh thông tin, việc đại lý trước đây còn găm hàng, lưu giữ sim số đẹp chuyến này kỳ vọng sẽ biến mất."
5,hdngan4782,"ị khóa 1 chiều mà vẫn không đi đăng kí,cập nhật thông tin thì là sim rác rồi,số lượng cả triệu sim như vậy hỏi sao người dân bị làm phiền hoài."
6,Đức Thành,"hông có gì phải lo hết, những người đang cần dùng thì khi bị khóa thì sẽ tự động đi cập nhật lại thôi những số điện thoại bị khóa mà không đi cập nhật lại, không phải là sim rác, cũng là những số không sử dụng"
7,tuantu.dhxd.ktxd, triệu thuê bao này khả năng đến 90% là sim rác
8,Edison Castle,ậy chắc chắn là rác rồi chứ làm gì dùng mà tới giờ chưa cập nhật.
9,Hoang Lập,hiều người mong điều đó từ lâu rồi
