No.,Author,Comment
0,Trực Ngôn,"hứ nhất khách sạn phải kiểm tra, lọc, quét hàng ngày chứ đừng để du khách phải nơm nớp tự đi dò như thế. Không lẽ chỉ khi khách lưu trú cài chất nổ mới sợ còn đặt camera quay lén thì khách sạn mặc kệ? Còn về phía du khách khi đã vào khách sạn hay nhà nghỉ thì cũng nên hạn chế làm những gì quá riêng tư (chỉ trừ tắm thì phải cảnh giác). "
1,Nguyen Tung,"ho xem thoải mái, đau mắt ráng chịu"
2,phamxuanthang8,ất nhiều lần nghi ngờ nhưng không tìm thấy nên cho nó quay
3,silent_wizzard,"ay quá, qua tuổi đi nhà nghỉ rồi"
4,Bờm Béo,"hải phạt thật nặng mấy khách sạn, nhà nghỉ này để họ có trách nhiệm trong vấn đề kiểm tra nữa. Minh ko có đi ks nhà nghỉ chim chuột nữa nhưng mà thi thoảng có đi công tác tất nhiên là nhìn mình đau mắt thôi nhưng sợ nhất cho các bạn nữ thôi"
5,tienvinh nguyen,"hách sạn đổ tại khách lưu trú lắp là k đc, phải ktra sau khi trả phòng chứ, công khai khách sạn đó luôn để họ sợ"
6,Thien Nguyen,i công tác mà sợ quay lén thì xem lại )
7,Nguyễn Đỗ Thiện,"ắt tất cả đèn, quan sát những vị trí nhạy cảm như tranh treo tường, đèn bàn, công tắc, lọ hoa,...nếu chỗ nào có ánh sáng đỏ hoặc trắng thì kiểm tra."
8,Nhìn ra thế giơi,o làm gì sai ko sợ.
9,ngochien72,"hẳng cần phải tới KS, giờ rất nhiều thiết bị điện mua mới về cũng có thể bị gài CAM nếu người mua không tinh ý. Bạn tôi đã từng bị gài CAM vào Robot lau nhà, không biết do người bán hay NSX."
10,Cho Tui Nói,"ôi cho quay thoải mái, chẳng việc gì phải ngại"
11,lephongvugtcc,ếu biết được tịch thu luôn.
12,Duy Le,"hông biết phải khách vô đặt không hay nhà nghỉ, KS tự đặt? Đặt camera thì dễ nhưng lấy nguồn nuôi nó thì mới là vấn đề."
13,Trần Thường,hông ngoài luồng thì sợ gì!
14,Daodao,"ợ chồng vào khách sạn thì cứ thoải mái nhé, còn việc để người ngoài gắn camera quay lén như quản lý khách sạn nói là lỗi của khách sạn, vậy nên KS cần phải kiểm tra vệ sinh, an ninh, an toàn cho người thuê phòng. Đây cũng là vấn đề an toàn của khách nên hiểu về luật thì KS phải chịu trách nhiệm cho việc này."
15,dung.01091987,hông làm gì khuất tất sao phải sợ. Không làm việc trái pháp luật thì sợ gì. Cứ ngủ với chồng với vợ mình thì cho quay thoải mái.
16,quoc292,"hạt thật nặng với KS hay nhà nghỉ khi bị khách hàng bắt gặp cài đặt ""camera gian"" về tội ""xâm phạm đời tư công dân "", nếu tái phạm thì rút giấy phép KD; để KS hay nhà nghỉ phải có trách nhiệm với khách hàng."
17,dongnguyen733939,ay quá đã qua tuổi đi nhà nghỉ khách sạn rùi. Đi là cần riêng tư mà riêng tư ko có đi ks làm ji. Ks hay nhà nghỉ xem lại nếu tung video ks rắc roi
18,ĐMP_86,"ồi đèn báo cháy trong phòng nó luôn nhấp nháy đỏ thì sao các bạn, mình vẫn hay thấy nó trong phòng khách sạn."
19,vanthoandoan185,"ào khách sạn cạo gió, mang thuốc cảm sốt cho bạn, đấy là chuyện riêng 2 người nha."
20,skylinevn2008,hứ về phòng là muốn ngủ sức đâu mà dò 
21,Càri CFVN,"àm việc riêng tư trong đó nếu tìm không thấy thì tắt hết đèn để hạn chế chất lượng HD xuống, còn các bạn nữ vô chỉ ngủ thôi thì kiểm tra phòng tắm thôi kiểm tra hết cái phòng chi cho mất thời gian"
22,Hung Hac,"heo tôi nên quản lý chặt các nguồn vào camera, cụ thể là các công ty nhập khẩu, các cửa hàng buôn bán phải cập nhật dữ liệu người mua để truy sau này"
23,vnlightnovel,ấn đề là sao mấy món này lại dễ dàng được mua đến thế
24,Niệm Nguyễn Hoài,"ô ngủ bình thường thôi thì có gì phải sợ cơ chứ, cho nó quay thoải mái thôi"
