No.,Author,Comment
0,thanhphat584,Vui khi thấy sự nổi tiếng của HTL ở nước bạn vì biết bạn này đã nỗ lực như thế nào từ khởi điểm cho tới giờ. Chúc mừng Hoàng Thùy Linh nhé
1,nguyendinhle85,em đi xem lại bản gốc vẫn thấy khác giai điệu và điệu nhảy của mấy bản cover nước ngoài là sao ta?
2,Minh Nguyễn,"oạn đầu đờn vọng cổ nghe hay và mượt mà quá, màn giới thiệu văn hóa đặc săc."
3,Kendavid,úng là thế giới phẳng. Mọi thứ đều đuọc lan toả rất nhanh
4,Sỹ Nguyễn Trung,"Vận động viên Lee Da Hyeon và Kim Yeon Koung nhảy ""See Tình"" trong trận đấu cuối tháng 1) 2 diễn viên này vui thật"
5,tungvominh1611,"ôi thấy không hay. Ngôn từ thì bồi tiếng Anh lẫn Việt, không biết có thể gọi là làm mất sự trong sáng của tiếng Việt hay không."
6,bql.intracom8,"ee tình nổi tiếng còn Hoàng Thuỳ Linh thì ko, vì bản chất ca khúc này nổi tiếng nhờ vũ đạo trên tik tok chứ ko phải MV gốc. Nếu HTT trau chuốt hơn phần vũ đạo thì đã có 1 Gangnam style và PSY phiên bản Việt rồi."
7,NDH,"hưa từng nghe, cũng ko thích các bài do em thể hiện, có thể do tôi quá lạc hậu nhưng dù sao cũng phải Chúc mừng em, em quá giỏi."
8,Chuoichung,ating tập này của running man lại cao chót vót nữa. chúc mừng nhà sản xuất HQ
9,tranvanhunglaixesep,"ài thật. Chả có gì hay, chả có gì đặc sắc cả vũ điệu lẫn lời bài hát mà cũng có người say mê? Đúng là thời đại phát triển của công nghệ Internet nó chả khác nào vài năm trước 1 người vô danh như Lệ Rơi bỗng nổi tiếng rầm rầm với những bản Cover còn bị ngọng níu ngọng nô thế rồi thời gian ngắn sau cả Lệ Rơi lẫn các ca khúc mà Lệ Rơi cover đã biến mất mà đến bây giờ không ai biết Lệ Rơi là ai . Rồi See Tình của HTL cũng sẽ chung số phận như Lệ Rơi năm nào."
10,Kim Chí Bảo,ến nỗi Jisoo còn phải học theo cơ mà :D
11,chuduchoang130979,"gôn từ k còn quan trọng, miễn là thấy hay, nhiều nơi người ta cũng chẳng quan tâm xuất xứ bài hát luôn, hay nhỉ..."
12,sharon.lily85,"im Yeon Koung cô ấy như phiên bản khác của Sú chỉ khác về giới tính thôi. Mong cô ấy sẽ quay lại running man nữa. Nhớ Sú quá cậu trai hiền lành, tốt bụng luôn quan tâm mọi người."
13,leduchung44444,em MV của Thuỳ Linh sao k thấy điệu nhảy như các bạn Hàn Quốc nhảy nhỉ
14,Chien,ình nghe nhạc bài này cũng thấy rất hay nhưng hay hơn khi ra ngoài lãnh thổ VN
15,Bem Bem,ao mà có thấy bản gốc và Cover giống nhau đâu ta?
16,Phạm Tôn Nhơn,"húc mừng HTL và ""See Tình"". Hy vọng văn hoá và âm nhạc VN sẽ phổ biến trên thế giới như cách HQ truyền văn hoá của họ cho các nước khác trong các năm vừa qua."
17,cuongbinance2021,"húc mừng cô bạn Hoàng Thùy Linh nhé. Bạn thật tuyệt vời, một cô bé phi thường."
18,hungtuannguyen114,"ài này nổi vì nó giống K pop quá mà @@ có tí bản sắc Việt Nam nào đâu cơ chứ, hic."
19,Đỗ Quyên,húng ta vẫn chưa có sự phối hợp giữa cơ quan ban ngành và các công ty giải trí để đưa các bài hát như này gây viral khắp thế giới như Gangnam style hay Despacito.
20,Kevin Vo,"ôi thích câu ""không gì là không thể"" trong bài viết, nó sẽ là một khích lệ đáng kể cho các nhạc sĩ, ca sĩ Việt Nam"
21,Cát tường,ôi không thấy có gì hay ở bài hát này .người ta nhảy dựa vào nền bài hát này chứ thật ra bản gốc còn ko nhảy như vậy
22,suanghegold,húc mừng Thuỳ Linh!
23,Van Minh,ấy bản hot hit gần đây thấy đều có chung 1 điệu nhảy giống nhau
24,levande660,ây cũng là cách họ quảng bá ngược sản phẩm của họ thôi.
